task,label,backbone,optimized,requested_samples,unique_samples,unique_ratio,elapsed_seconds,num_qubits,min_gates,max_gates,pad_constant
srv,qiskit_not_optimized_10k,qiskit,False,10000,9981,0.9981,10.664237746968865,5,4,20,
srv,qiskit_not_optimized_100k,qiskit,False,100000,99698,0.99698,101.90024180803448,5,4,20,
srv,qiskit_optimized_10k,qiskit,True,10000,9800,0.98,19.518528408836573,5,4,20,
srv,qiskit_optimized_100k,qiskit,True,100000,94396,0.94396,154.40711357910186,5,4,20,
srv,quditkit_not_optimized_10k,quditkit,False,10000,9982,0.9982,4.441116228932515,5,4,20,
srv,quditkit_not_optimized_100k,quditkit,False,100000,99702,0.99702,41.31642189412378,5,4,20,
srv,quditkit_optimized_10k,quditkit,True,10000,9882,0.9882,5.259243247099221,5,4,20,
srv,quditkit_optimized_100k,quditkit,True,100000,96619,0.96619,40.872648254968226,5,4,20,
